CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Segment
1520,60,1,102.76,1,1,1,Lost Customers
1530,23,1,161.9,3,1,1,Active Customers
1567,22,1,622.98,3,1,3,Active Customers
1590,38,1,246.86,2,1,1,Lost Customers
1601,32,2,952.47,2,4,4,At Risk
1612,15,1,810.26,3,1,4,Active Customers
1616,58,1,375.05,1,1,2,Lost Customers
1643,26,1,393.52,3,1,2,Active Customers
1645,26,2,1292.1100000000001,3,4,4,Champions
1651,46,1,923.05,1,1,4,Lost Customers
1653,18,1,886.8,3,1,4,Active Customers
1659,13,1,758.71,4,1,3,Active Customers
1685,23,1,737.98,3,1,3,Active Customers
1706,53,1,577.75,1,1,3,Lost Customers
1711,15,1,464.83,3,1,2,Active Customers
1713,21,1,393.01,3,1,2,Active Customers
1715,35,2,1117.92,2,4,4,At Risk
1719,12,1,179.18,4,1,1,Active Customers
1721,7,1,864.3,4,1,4,Active Customers
1731,45,1,445.34,1,1,2,Lost Customers
1742,59,1,145.67,1,1,1,Lost Customers
1744,47,1,401.31,1,1,2,Lost Customers
1749,42,1,948.98,2,1,4,Lost Customers
1753,57,1,269.0,1,1,2,Lost Customers
1803,3,2,1033.13,4,4,4,Champions
1813,36,1,576.05,2,1,3,Lost Customers
1820,55,1,815.05,1,1,4,Lost Customers
1828,20,1,999.29,3,1,4,Active Customers
1833,12,1,933.06,4,1,4,Active Customers
1842,43,1,604.41,2,1,3,Lost Customers
1878,6,1,365.45,4,1,2,Active Customers
1879,55,1,442.72,1,1,2,Lost Customers
1886,42,1,529.14,2,1,2,Lost Customers
1891,7,1,753.53,4,1,3,Active Customers
1901,42,1,669.42,2,1,3,Lost Customers
1919,43,1,364.88,2,1,2,Lost Customers
1920,39,2,1117.9099999999999,2,4,4,At Risk
1924,53,1,508.86,1,1,2,Lost Customers
1936,58,1,588.34,1,1,3,Lost Customers
1944,26,1,418.55,3,1,2,Active Customers
1960,1,1,845.91,4,1,4,Active Customers
1972,25,1,357.31,3,1,2,Active Customers
1984,43,1,208.69,2,1,1,Lost Customers
1990,1,1,791.4,4,1,4,Active Customers
1992,36,1,283.12,2,1,2,Lost Customers
1993,36,1,730.93,2,1,3,Lost Customers
2009,52,1,754.71,1,1,3,Lost Customers
2010,8,1,783.15,4,1,4,Active Customers
2011,8,1,552.17,4,1,3,Active Customers
2029,54,1,838.32,1,1,4,Lost Customers
2033,16,1,778.43,3,1,3,Active Customers
2035,21,1,825.62,3,1,4,Active Customers
2036,13,1,748.49,4,1,3,Active Customers
2041,31,1,453.79,3,1,2,Active Customers
2063,26,1,546.75,3,1,3,Active Customers
2072,48,1,673.63,1,1,3,Lost Customers
2075,42,1,712.47,2,1,3,Lost Customers
2077,42,1,404.18,2,1,2,Lost Customers
2083,50,1,927.83,1,1,4,Lost Customers
2101,46,1,780.73,1,1,3,Lost Customers
2118,31,1,447.79,3,1,2,Active Customers
2121,50,1,145.26,1,1,1,Lost Customers
2124,12,1,957.71,4,1,4,Active Customers
2133,9,2,1386.69,4,4,4,Champions
2139,59,1,664.65,1,1,3,Lost Customers
2143,4,1,201.56,4,1,1,Active Customers
2153,8,1,310.87,4,1,2,Active Customers
2169,58,1,174.26,1,1,1,Lost Customers
2180,36,1,863.15,2,1,4,Lost Customers
2188,61,1,463.7,1,1,2,Lost Customers
2194,11,1,710.6,4,1,3,Active Customers
2195,17,1,69.31,3,1,1,Active Customers
2200,58,1,186.21,1,1,1,Lost Customers
2228,60,1,997.19,1,1,4,Lost Customers
2229,19,1,641.14,3,1,3,Active Customers
2234,50,1,951.78,1,1,4,Lost Customers
2263,29,1,647.04,3,1,3,Active Customers
2291,32,1,449.75,2,1,2,Lost Customers
2293,22,1,872.13,3,1,4,Active Customers
2294,38,1,959.7,2,1,4,Lost Customers
2296,51,1,350.19,1,1,2,Lost Customers
2310,32,1,803.01,2,1,4,Lost Customers
2336,44,1,448.68,2,1,2,Lost Customers
2337,38,1,232.29,2,1,1,Lost Customers
2341,28,1,452.28,3,1,2,Active Customers
2342,31,1,845.33,3,1,4,Active Customers
2344,44,1,162.68,2,1,1,Lost Customers
2389,43,1,520.3,2,1,2,Lost Customers
2391,5,1,62.08,4,1,1,Active Customers
2404,12,1,622.43,4,1,3,Active Customers
2417,43,1,767.62,2,1,3,Lost Customers
2419,44,1,882.81,2,1,4,Lost Customers
2425,37,1,560.8,2,1,3,Lost Customers
2438,15,1,388.39,3,1,2,Active Customers
2443,34,1,846.04,2,1,4,Lost Customers
2444,57,1,270.46,1,1,2,Lost Customers
2462,49,1,447.3,1,1,2,Lost Customers
2468,39,1,558.68,2,1,3,Lost Customers
2481,51,1,809.52,1,1,4,Lost Customers
2489,13,1,56.65,4,1,1,Active Customers
2494,31,2,1063.6399999999999,3,4,4,Champions
2501,19,1,219.98,3,1,1,Active Customers
2502,1,1,911.4,4,1,4,Active Customers
2522,38,1,816.81,2,1,4,Lost Customers
2524,59,1,922.06,1,1,4,Lost Customers
2526,15,2,1635.23,3,4,4,Champions
2527,47,1,992.33,1,1,4,Lost Customers
2531,36,1,385.47,2,1,2,Lost Customers
2551,32,1,110.89,2,1,1,Lost Customers
2556,7,1,760.62,4,1,3,Active Customers
2557,41,1,432.5,2,1,2,Lost Customers
2559,61,1,221.29,1,1,1,Lost Customers
2562,4,1,532.88,4,1,2,Active Customers
2577,50,1,481.11,1,1,2,Lost Customers
2582,14,1,741.41,4,1,3,Active Customers
2617,59,1,575.3,1,1,3,Lost Customers
2624,11,1,704.76,4,1,3,Active Customers
2625,1,1,765.11,4,1,3,Active Customers
2633,28,1,911.34,3,1,4,Active Customers
2654,37,1,285.19,2,1,2,Lost Customers
2655,40,1,308.75,2,1,2,Lost Customers
2658,15,1,238.71,3,1,1,Active Customers
2669,17,1,774.76,3,1,3,Active Customers
2679,18,1,743.26,3,1,3,Active Customers
2681,36,1,418.22,2,1,2,Lost Customers
2682,37,1,508.3,2,1,2,Lost Customers
2691,16,1,968.76,3,1,4,Active Customers
2695,10,1,900.14,4,1,4,Active Customers
2702,45,2,1164.3,1,4,4,At Risk
2728,12,1,642.24,4,1,3,Active Customers
2741,30,2,1104.57,3,4,4,Champions
2747,46,1,387.55,1,1,2,Lost Customers
2749,53,1,192.9,1,1,1,Lost Customers
2752,45,1,614.74,1,1,3,Lost Customers
2753,14,1,557.69,4,1,3,Active Customers
2761,34,1,142.6,2,1,1,Lost Customers
2765,13,1,420.33,4,1,2,Active Customers
2767,60,1,299.57,1,1,2,Lost Customers
2791,18,1,802.05,3,1,4,Active Customers
2809,55,1,527.97,1,1,2,Lost Customers
2816,43,1,681.44,2,1,3,Lost Customers
2824,60,1,744.13,1,1,3,Lost Customers
2832,57,1,945.6,1,1,4,Lost Customers
2843,35,1,158.15,2,1,1,Lost Customers
2847,46,1,504.59,1,1,2,Lost Customers
2848,59,1,811.38,1,1,4,Lost Customers
2869,9,1,74.69,4,1,1,Active Customers
2879,19,1,352.55,3,1,2,Active Customers
2882,13,1,285.78,4,1,2,Active Customers
2890,13,1,358.72,4,1,2,Active Customers
2902,55,1,242.45,1,1,1,Lost Customers
2911,53,1,54.89,1,1,1,Lost Customers
2926,4,1,140.26,4,1,1,Active Customers
2940,26,1,766.8,3,1,3,Active Customers
2964,3,1,87.7,4,1,1,Active Customers
2970,1,1,759.62,4,1,3,Active Customers
2975,6,1,428.09,4,1,2,Active Customers
2982,46,1,232.45,1,1,1,Lost Customers
2988,32,1,142.01,2,1,1,Lost Customers
2999,17,1,860.81,3,1,4,Active Customers
3024,26,1,260.21,3,1,1,Active Customers
3041,15,1,901.05,3,1,4,Active Customers
3048,15,1,242.28,3,1,1,Active Customers
3103,55,1,393.53,1,1,2,Lost Customers
3110,56,1,906.03,1,1,4,Lost Customers
3114,34,1,507.84,2,1,2,Lost Customers
3120,22,1,439.37,3,1,2,Active Customers
3131,51,1,588.15,1,1,3,Lost Customers
3140,31,1,921.19,3,1,4,Active Customers
3148,25,1,689.15,3,1,3,Active Customers
3150,28,1,840.13,3,1,4,Active Customers
3153,56,1,910.53,1,1,4,Lost Customers
3173,16,1,653.59,3,1,3,Active Customers
3174,46,1,154.78,1,1,1,Lost Customers
3194,41,1,126.68,2,1,1,Lost Customers
3196,29,1,847.68,3,1,4,Active Customers
3203,4,1,850.9,4,1,4,Active Customers
3213,1,1,700.65,4,1,3,Active Customers
3219,42,1,16.7,2,1,1,Lost Customers
3221,13,1,787.83,4,1,4,Active Customers
3223,6,1,467.08,4,1,2,Active Customers
3230,12,1,772.45,4,1,3,Active Customers
3248,17,1,21.24,3,1,1,Active Customers
3262,7,2,1080.46,4,4,4,Champions
3267,6,1,257.5,4,1,1,Active Customers
3275,46,1,792.47,1,1,4,Lost Customers
3280,21,1,309.8,3,1,2,Active Customers
3287,46,1,747.54,1,1,3,Lost Customers
3308,55,1,60.1,1,1,1,Lost Customers
3340,57,1,535.2,1,1,2,Lost Customers
3363,49,1,606.44,1,1,3,Lost Customers
3369,37,1,198.7,2,1,1,Lost Customers
3384,15,1,39.19,3,1,1,Active Customers
3392,53,1,47.92,1,1,1,Lost Customers
3399,8,2,123.06,4,4,1,Champions
3406,58,1,174.68,1,1,1,Lost Customers
3417,20,1,690.75,3,1,3,Active Customers
3420,24,1,707.65,3,1,3,Active Customers
3435,38,1,398.57,2,1,2,Lost Customers
3443,1,1,99.18,4,1,1,Active Customers
3450,31,1,807.61,3,1,4,Active Customers
3463,40,1,90.69,2,1,1,Lost Customers
3485,52,1,813.03,1,1,4,Lost Customers
3502,34,1,970.83,2,2,4,Lost Customers
3504,38,1,764.89,2,2,3,Lost Customers
3509,32,1,750.26,2,2,3,Lost Customers
3519,60,1,464.63,1,2,2,Lost Customers
3521,17,1,540.99,3,2,2,Active Customers
3522,30,1,933.33,3,2,4,Active Customers
3525,22,1,290.3,3,2,2,Active Customers
3527,51,1,189.04,1,2,1,Lost Customers
3535,19,1,487.37,3,2,2,Active Customers
3538,57,1,302.83,1,2,2,Lost Customers
3555,13,1,731.2,4,2,3,Active Customers
3573,46,2,292.33000000000004,1,4,2,At Risk
3578,38,1,606.0,2,2,3,Lost Customers
3604,6,1,933.4,4,2,4,Active Customers
3607,14,1,862.88,4,2,4,Active Customers
3623,40,1,564.25,2,2,3,Lost Customers
3634,40,1,417.53,2,2,2,Lost Customers
3647,14,1,447.42,4,2,2,Active Customers
3656,6,1,153.16,4,2,1,Active Customers
3661,25,1,248.07,3,2,1,Active Customers
3662,36,1,990.71,2,2,4,Lost Customers
3676,58,1,223.31,1,2,1,Lost Customers
3693,33,1,471.39,2,2,2,Lost Customers
3695,41,2,1770.85,2,4,4,At Risk
3697,37,1,12.13,2,2,1,Lost Customers
3704,8,1,472.72,4,2,2,Active Customers
3705,45,1,532.4,1,2,2,Lost Customers
3709,57,1,753.92,1,2,3,Lost Customers
3719,22,1,147.84,3,2,1,Active Customers
3724,35,1,490.78,2,2,2,Lost Customers
3735,38,1,135.66,2,2,1,Lost Customers
3742,11,1,283.34,4,2,2,Active Customers
3747,15,1,688.74,3,2,3,Active Customers
3762,25,1,766.84,3,2,3,Active Customers
3793,40,1,363.95,2,2,2,Lost Customers
3804,19,1,628.23,3,2,3,Active Customers
3807,56,1,504.86,1,2,2,Lost Customers
3826,9,1,676.85,4,2,3,Active Customers
3832,30,1,827.45,3,2,4,Active Customers
3837,23,1,802.86,3,2,4,Active Customers
3846,49,1,876.43,1,2,4,Lost Customers
3852,11,1,367.88,4,2,2,Active Customers
3858,54,1,664.45,1,2,3,Lost Customers
3871,21,1,499.42,3,2,2,Active Customers
3877,49,1,140.84,1,2,1,Lost Customers
3878,53,1,386.41,1,2,2,Lost Customers
3879,20,1,610.56,3,2,3,Active Customers
3880,2,1,920.44,4,2,4,Active Customers
3906,32,1,751.84,2,2,3,Lost Customers
3926,6,1,40.96,4,2,1,Active Customers
3937,55,1,918.87,1,2,4,Lost Customers
3938,14,2,1731.53,4,4,4,Champions
3945,12,1,589.59,4,2,3,Active Customers
3954,12,1,90.0,4,2,1,Active Customers
3972,6,1,151.82,4,2,1,Active Customers
3983,23,1,325.03,3,2,2,Active Customers
4014,7,1,393.59,4,2,2,Active Customers
4022,50,1,644.07,1,2,3,Lost Customers
4029,38,1,886.64,2,2,4,Lost Customers
4044,57,1,599.08,1,2,3,Lost Customers
4048,30,1,522.57,3,2,2,Active Customers
4052,2,1,751.51,4,2,3,Active Customers
4054,49,1,505.64,1,2,2,Lost Customers
4090,17,1,246.42,3,2,1,Active Customers
4110,13,1,167.75,4,2,1,Active Customers
4111,40,1,729.28,2,2,3,Lost Customers
4116,27,1,454.13,3,2,2,Active Customers
4131,43,1,363.4,2,2,2,Lost Customers
4150,46,1,286.22,1,2,2,Lost Customers
4154,41,1,518.76,2,2,2,Lost Customers
4157,53,1,52.25,1,2,1,Lost Customers
4161,60,1,692.36,1,2,3,Lost Customers
4164,50,1,614.84,1,2,3,Lost Customers
4166,47,1,41.91,1,2,1,Lost Customers
4178,38,1,681.52,2,2,3,Lost Customers
4185,16,1,699.39,3,2,3,Active Customers
4190,59,1,786.12,1,2,4,Lost Customers
4196,9,1,390.1,4,2,2,Active Customers
4214,40,1,237.72,2,2,1,Lost Customers
4232,33,1,596.28,2,2,3,Lost Customers
4257,16,1,653.39,3,2,3,Active Customers
4271,55,1,35.48,1,2,1,Lost Customers
4275,44,1,752.68,2,2,3,Lost Customers
4279,54,1,144.37,1,2,1,Lost Customers
4290,31,1,321.04,3,2,2,Active Customers
4291,48,1,627.93,1,2,3,Lost Customers
4302,59,1,793.2,1,2,4,Lost Customers
4308,9,1,630.95,4,2,3,Active Customers
4371,44,1,754.8,2,2,3,Lost Customers
4387,20,1,147.19,3,2,1,Active Customers
4401,33,2,508.21000000000004,2,4,2,At Risk
4450,51,1,403.08,1,2,2,Lost Customers
4470,2,1,198.12,4,2,1,Active Customers
4475,39,1,799.85,2,2,4,Lost Customers
4483,20,1,504.24,3,2,2,Active Customers
4485,3,1,46.29,4,2,1,Active Customers
4510,27,1,140.99,3,2,1,Active Customers
4517,3,1,195.28,4,2,1,Active Customers
4522,8,1,858.01,4,2,4,Active Customers
4532,32,1,826.31,2,2,4,Lost Customers
4533,8,1,158.02,4,2,1,Active Customers
4538,9,1,871.0,4,2,4,Active Customers
4555,31,1,216.8,3,2,1,Active Customers
4559,56,1,897.63,1,2,4,Lost Customers
4562,15,1,86.43,3,2,1,Active Customers
4568,54,1,243.61,1,2,1,Lost Customers
4575,32,1,309.12,2,2,2,Lost Customers
4585,50,1,806.07,1,2,4,Lost Customers
4598,18,1,331.04,3,2,2,Active Customers
4608,61,1,80.28,1,2,1,Lost Customers
4614,45,1,88.42,1,2,1,Lost Customers
4616,23,1,720.67,3,2,3,Active Customers
4617,22,1,836.4,3,2,4,Active Customers
4624,5,1,221.22,4,2,1,Active Customers
4626,20,1,232.86,3,2,1,Active Customers
4630,40,1,781.33,2,2,3,Lost Customers
4637,29,1,749.38,3,2,3,Active Customers
4646,14,1,674.63,4,2,3,Active Customers
4675,15,1,985.03,3,2,4,Active Customers
4683,27,1,295.78,3,2,2,Active Customers
4695,51,2,805.14,1,4,4,At Risk
4700,42,1,687.2,2,2,3,Lost Customers
4714,14,1,656.25,4,2,3,Active Customers
4727,14,1,99.48,4,2,1,Active Customers
4728,47,1,33.43,1,2,1,Lost Customers
4729,3,1,266.06,4,2,1,Active Customers
4743,35,1,345.54,2,2,2,Lost Customers
4750,18,1,837.6,3,2,4,Active Customers
4751,37,1,98.44,2,2,1,Lost Customers
4755,49,1,836.59,1,2,4,Lost Customers
4759,1,1,804.28,4,2,4,Active Customers
4762,46,1,466.02,1,2,2,Lost Customers
4765,37,1,391.61,2,2,2,Lost Customers
4770,23,1,803.91,3,2,4,Active Customers
4788,11,2,714.16,4,4,3,Champions
4792,43,1,709.89,2,2,3,Lost Customers
4804,27,3,2073.33,3,4,4,Champions
4812,16,2,1279.44,3,4,4,Champions
4814,56,1,159.18,1,2,1,Lost Customers
4817,45,1,812.96,1,2,4,Lost Customers
4858,33,1,756.22,2,2,3,Lost Customers
4863,26,1,437.9,3,2,2,Active Customers
4868,7,1,369.06,4,2,2,Active Customers
4871,55,1,154.98,1,2,1,Lost Customers
4878,6,1,170.88,4,2,1,Active Customers
4879,43,1,268.38,2,2,2,Lost Customers
4882,48,1,812.6,1,2,4,Lost Customers
4892,29,1,786.46,3,2,4,Active Customers
4893,42,1,130.63,2,2,1,Lost Customers
4909,58,1,252.03,1,2,1,Lost Customers
4912,41,1,723.79,2,2,3,Lost Customers
4913,7,1,964.36,4,2,4,Active Customers
4920,16,1,166.79,3,2,1,Active Customers
4923,58,1,248.46,1,2,1,Lost Customers
4943,25,2,626.79,3,4,3,Champions
4944,48,1,587.51,1,2,3,Lost Customers
4948,7,1,233.09,4,2,1,Active Customers
4974,17,2,982.95,3,4,4,Champions
4982,1,1,624.79,4,2,3,Active Customers
4986,42,1,667.32,2,2,3,Lost Customers
4990,53,1,789.11,1,2,4,Lost Customers
5009,14,1,53.79,4,2,1,Active Customers
5011,31,1,615.16,3,2,3,Active Customers
5033,24,1,598.57,3,2,3,Active Customers
5040,15,1,628.78,3,2,3,Active Customers
5049,14,1,994.59,4,2,4,Active Customers
5051,49,1,840.84,1,2,4,Lost Customers
5059,44,1,648.17,2,2,3,Lost Customers
5060,19,1,248.74,3,2,1,Active Customers
5067,6,2,1005.37,4,4,4,Champions
5076,47,1,696.59,1,2,3,Lost Customers
5087,59,1,461.88,1,2,2,Lost Customers
5088,19,1,111.77,3,2,1,Active Customers
5102,56,1,378.13,1,2,2,Lost Customers
5105,49,1,638.71,1,2,3,Lost Customers
5106,18,1,758.02,3,2,3,Active Customers
5107,4,1,49.09,4,2,1,Active Customers
5114,4,1,909.08,4,2,4,Active Customers
5150,31,1,642.13,3,2,3,Active Customers
5173,59,1,711.7,1,2,3,Lost Customers
5179,12,1,111.88,4,2,1,Active Customers
5192,20,1,238.85,3,2,1,Active Customers
5201,14,1,484.29,4,2,2,Active Customers
5215,16,1,194.34,3,2,1,Active Customers
5216,13,1,823.38,4,2,4,Active Customers
5221,5,1,393.3,4,2,2,Active Customers
5224,57,1,388.85,1,2,2,Lost Customers
5254,28,2,1132.47,3,4,4,Champions
5272,48,1,673.03,1,2,3,Lost Customers
5281,7,1,540.74,4,2,2,Active Customers
5285,20,1,365.96,3,2,2,Active Customers
5298,19,1,864.01,3,2,4,Active Customers
5308,16,1,975.3,3,2,4,Active Customers
5331,38,1,241.68,2,2,1,Lost Customers
5334,11,1,793.34,4,2,4,Active Customers
5342,40,1,627.03,2,2,3,Lost Customers
5347,58,1,135.49,1,2,1,Lost Customers
5349,59,1,117.32,1,2,1,Lost Customers
5350,20,1,785.07,3,2,4,Active Customers
5371,51,1,789.5,1,2,4,Lost Customers
5382,23,1,648.2,3,2,3,Active Customers
5438,42,1,258.89,2,2,1,Lost Customers
5444,9,1,87.11,4,2,1,Active Customers
5450,53,1,118.13,1,2,1,Lost Customers
5460,29,1,544.58,3,2,3,Active Customers
5469,33,1,906.25,2,2,4,Lost Customers
5470,49,1,810.73,1,2,4,Lost Customers
5471,34,1,490.79,2,2,2,Lost Customers
5476,54,1,801.35,1,2,4,Lost Customers
5477,17,1,764.79,3,2,3,Active Customers
5488,38,1,825.27,2,2,4,Lost Customers
5494,59,1,974.55,1,2,4,Lost Customers
5499,33,1,86.71,2,2,1,Lost Customers
5511,34,1,896.53,2,2,4,Lost Customers
5512,36,1,152.41,2,2,1,Lost Customers
5520,12,1,405.44,4,2,2,Active Customers
5521,35,1,306.75,2,2,2,Lost Customers
5533,59,1,13.51,1,2,1,Lost Customers
5543,12,1,779.9,4,2,3,Active Customers
5557,10,3,2379.45,4,4,4,Champions
5558,13,1,951.69,4,2,4,Active Customers
5564,6,1,78.73,4,2,1,Active Customers
5582,9,1,989.2,4,2,4,Active Customers
5583,37,2,839.24,2,4,4,At Risk
5622,44,1,133.79,2,2,1,Lost Customers
5634,15,2,720.25,3,4,3,Champions
5660,23,1,26.14,3,2,1,Active Customers
5664,20,1,745.5,3,2,3,Active Customers
5670,60,1,392.7,1,2,2,Lost Customers
5673,34,1,699.63,2,2,3,Lost Customers
5687,6,1,540.28,4,2,2,Active Customers
5694,32,1,635.4,2,2,3,Lost Customers
5706,41,1,292.56,2,2,2,Lost Customers
5719,33,1,882.04,2,2,4,Lost Customers
5735,16,1,215.21,3,2,1,Active Customers
5742,41,1,128.78,2,2,1,Lost Customers
5747,11,1,400.38,4,2,2,Active Customers
5762,19,1,76.69,3,2,1,Active Customers
5781,35,1,393.92,2,2,2,Lost Customers
5803,8,1,632.35,4,2,3,Active Customers
5809,48,1,950.81,1,2,4,Lost Customers
5813,55,1,476.07,1,2,2,Lost Customers
5819,33,1,185.65,2,2,1,Lost Customers
5833,38,1,618.48,2,2,3,Lost Customers
5837,60,1,978.17,1,2,4,Lost Customers
5843,45,1,907.84,1,2,4,Lost Customers
5853,47,1,367.27,1,2,2,Lost Customers
5861,48,1,969.02,1,2,4,Lost Customers
5888,25,1,606.76,3,2,3,Active Customers
5890,18,1,117.02,3,2,1,Active Customers
5903,41,1,374.88,2,2,2,Lost Customers
5905,2,1,666.75,4,3,3,Champions
5915,45,1,566.52,1,3,3,At Risk
5919,59,1,812.08,1,3,4,At Risk
5920,47,1,222.67,1,3,1,At Risk
5923,14,1,448.68,4,3,2,Champions
5933,35,2,1163.24,2,4,4,At Risk
5938,1,1,219.12,4,3,1,Champions
5949,31,1,252.43,3,3,1,Champions
5970,33,1,748.15,2,3,3,At Risk
5990,5,1,513.25,4,3,2,Champions
5994,51,1,987.78,1,3,4,At Risk
6005,15,1,702.45,3,3,3,Champions
6008,17,1,588.33,3,3,3,Champions
6050,38,1,899.99,2,3,4,At Risk
6053,45,1,366.05,1,3,2,At Risk
6068,47,1,254.92,1,3,1,At Risk
6071,15,1,770.94,3,3,3,Champions
6077,56,1,516.19,1,3,2,At Risk
6085,47,1,808.5,1,3,4,At Risk
6096,55,1,582.9,1,3,3,At Risk
6107,36,1,995.2,2,3,4,At Risk
6134,21,1,67.43,3,3,1,Champions
6168,36,1,275.06,2,3,2,At Risk
6169,54,1,745.45,1,3,3,At Risk
6172,35,1,955.89,2,3,4,At Risk
6175,35,1,368.65,2,3,2,At Risk
6188,38,1,115.49,2,3,1,At Risk
6201,57,1,561.77,1,3,3,At Risk
6210,10,1,740.72,4,3,3,Champions
6221,45,1,952.15,1,3,4,At Risk
6228,46,1,471.81,1,3,2,At Risk
6234,51,1,639.82,1,3,3,At Risk
6236,18,1,148.53,3,3,1,Champions
6253,46,1,308.75,1,3,2,At Risk
6262,55,1,89.27,1,3,1,At Risk
6267,23,1,480.87,3,3,2,Champions
6269,12,1,290.23,4,3,2,Champions
6277,23,1,156.85,3,3,1,Champions
6293,51,1,632.87,1,3,3,At Risk
6295,6,1,971.26,4,3,4,Champions
6298,18,1,924.9,3,3,4,Champions
6299,33,1,34.66,2,3,1,At Risk
6302,16,1,299.71,3,3,2,Champions
6303,15,1,473.71,3,3,2,Champions
6319,7,1,378.0,4,3,2,Champions
6323,6,1,462.97,4,3,2,Champions
6327,6,1,284.12,4,3,2,Champions
6328,6,1,481.39,4,3,2,Champions
6344,36,1,700.24,2,3,3,At Risk
6345,41,1,458.23,2,3,2,At Risk
6347,60,1,637.78,1,3,3,At Risk
6354,29,1,700.79,3,3,3,Champions
6363,48,1,460.15,1,3,2,At Risk
6381,9,1,136.52,4,3,1,Champions
6383,7,1,677.61,4,3,3,Champions
6399,33,1,341.39,2,3,2,At Risk
6400,19,1,131.01,3,3,1,Champions
6411,16,1,477.68,3,3,2,Champions
6416,46,1,12.71,1,3,1,At Risk
6420,39,1,136.93,2,3,1,At Risk
6431,17,1,245.2,3,3,1,Champions
6432,11,1,436.15,4,3,2,Champions
6439,26,1,769.74,3,3,3,Champions
6447,53,1,53.89,1,3,1,At Risk
6478,39,1,880.99,2,3,4,At Risk
6482,57,1,336.39,1,3,2,At Risk
6499,20,1,98.41,3,3,1,Champions
6502,41,1,894.1,2,3,4,At Risk
6517,5,1,768.64,4,3,3,Champions
6542,28,1,527.87,3,3,2,Champions
6544,2,1,969.96,4,3,4,Champions
6549,10,1,124.02,4,3,1,Champions
6570,1,1,125.84,4,3,1,Champions
6574,44,1,163.92,2,3,1,At Risk
6582,16,1,185.69,3,3,1,Champions
6584,38,1,827.06,2,3,4,At Risk
6598,1,1,768.49,4,3,3,Champions
6614,35,1,987.32,2,3,4,At Risk
6617,43,2,1148.94,2,4,4,At Risk
6621,38,1,192.07,2,3,1,At Risk
6633,48,1,418.53,1,3,2,At Risk
6634,43,1,474.51,2,3,2,At Risk
6638,60,1,417.64,1,3,2,At Risk
6644,17,1,73.12,3,3,1,Champions
6658,36,1,139.46,2,3,1,At Risk
6661,24,1,306.16,3,3,2,Champions
6669,1,1,941.5,4,3,4,Champions
6688,27,1,434.09,3,3,2,Champions
6703,39,1,963.65,2,3,4,At Risk
6706,31,1,106.65,3,3,1,Champions
6707,42,1,349.64,2,3,2,At Risk
6714,26,1,934.36,3,3,4,Champions
6730,39,1,171.88,2,3,1,At Risk
6742,45,1,789.15,1,3,4,At Risk
6761,1,1,571.97,4,3,3,Champions
6770,51,1,148.56,1,3,1,At Risk
6776,22,1,998.17,3,3,4,Champions
